DISTRICT,STATE,LATITUDE,LONGITUDE
Ariyalur,TAMIL NADU,11.1401,79.0786
Chengalpattu,TAMIL NADU,12.6819,79.9888
Chennai,TAMIL NADU,13.074737,80.267689
Coimbatore,TAMIL NADU,10.994743,76.96688
Cuddalore,TAMIL NADU,11.75553,79.762325
Dharmapuri,TAMIL NADU,12.134803,78.161203
Dindigul,TAMIL NADU,10.361936,77.968908
Erode,TAMIL NADU,11.334348,77.72772
Kallakurichi,TAMIL NADU,11.7384,78.9639
Kancheepuram,TAMIL NADU,12.834822,79.715697
Kanyakumari,TAMIL NADU,8.175865,77.440953
Karur,TAMIL NADU,10.948948,78.086832
Krishnagiri,TAMIL NADU,12.533802,78.228528
Madurai,TAMIL NADU,9.924937,78.129356
Mayiladuthurai,TAMIL NADU,11.1018,79.6526
Nagapattinam,TAMIL NADU,10.770587,79.834871
Namakkal,TAMIL NADU,11.225821,78.171836
Perambalur,TAMIL NADU,11.243109,78.866417
Pudukottai,TAMIL NADU,10.383944,78.81216
Ramanathapuram,TAMIL NADU,9.363516,78.840969
Ranipet,TAMIL NADU,12.9487,79.3190
Salem,TAMIL NADU,11.65821,78.152968
Sivagangai,TAMIL NADU,9.860311,78.481581
Tenkasi,TAMIL NADU,8.9564,77.3152
Thanjavur,TAMIL NADU,10.785111,79.138403
Theni,TAMIL NADU,9.999588,77.464364
Tirupathur,TAMIL NADU,12.4950,78.5678
Tiruppur,TAMIL NADU,11.1085,77.3411
Tiruvannamalai,TAMIL NADU,12.233386,79.07432
Trichirappalli,TAMIL NADU,10.82225,78.681043
Thirunelveli,TAMIL NADU,8.730059,77.692464
Thiruvallur,TAMIL NADU,13.153773,79.915219
Thiruvarur,TAMIL NADU,10.780886,79.626455
Thoothukudi,TAMIL NADU,8.810166,78.148882
The Nilgiris,TAMIL NADU,11.415521,76.705867
Vellore,TAMIL NADU,12.909641,79.139241
Viluppuram,TAMIL NADU,11.936979,79.487333
Virudhunagar,TAMIL NADU,9.594003,77.952743